original_name,occurrences,affected_guidelines,affected_diagnoses,possible_normalization,possible_atc
#гентамицин** (добавление к цефазолину**),2,2,2,гентамицин** (добавление к цефазолину**),J01DB04
Амоксициллин+[клавулановая кислота]**,2,1,2,Амоксициллин + [клавулановая кислота],J01CA04
Сульфаметоксазол+Триметоприм**,2,1,2,Сульфаметоксазол + Триметоприм,J01EC01
#Метронидазола**,2,1,2,Метронидазола,J01XD01
аминогликозиды и/или антибиотики гликопептидной структуры,2,1,2,аминогликозиды и/или антибиотики гликопептидной структуры,J01G
цефалоспорины (ЦФ) третьего поколения,2,1,2,цефалоспорины (ЦФ) третьего поколения,J01D
"#ко-тримоксазол** в комбинации с антибактериальными препаратами системного действия, влияющих на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз и/или цефалоспорины 4-го поколения, и/или карбапенемы, и/или другие антибактериальные препараты)",2,1,1,"ко-тримоксазол** в комбинации с антибактериальными препаратами системного действия, влияющих на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз и/или цефалоспорины 4-го поколения, и/или карбапенемы, и/или другие антибактериальные препараты)",J01CE01
"#ко-тримоксазол** в комбинации с антибактериальными препаратами системного действия, влияющими на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз и/или цефалоспорины 4-го поколения, и/или карбапенемы, и/или другие антибактериальные препараты)",2,1,2,"ко-тримоксазол** в комбинации с антибактериальными препаратами системного действия, влияющими на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз и/или цефалоспорины 4-го поколения, и/или карбапенемы, и/или другие антибактериальные препараты)",J01CE01
#хлорамфеникол**,2,1,2,хлорамфеникол,J01BA01
#бензилпенициллина**,2,1,2,бензилпенициллина,J01CE01
# Имипенем+[Циластатин]**,2,1,1,Имипенем + [Циластатин],J01DH51
Мупироцин 2% мазь,2,1,2,Мупироцин 2% мазь,
цефазолином,2,1,2,цефазолином,J01DB04
цефазолином **,2,1,2,цефазолином,J01DB04
«норфлоксацин,2,1,1,«норфлоксацин,J01MA06
«ципрофлоксацнн**,2,1,1,«ципрофлоксацнн,
пиперациллин+тазобакдам,2,1,1,пиперациллин + тазобакдам,
